,Country Name,UN Region,Amount,Total Population,Population Date,log_Population,Amount ,Population 
1,Switzerland,Europe,2398474649.0,8753933.0,31 Mar 2022,6.942203218328999,2.40G,8.75M
2,Ethiopia,Africa,694503814.07,120812698.0,1 Jul 2022,8.082112583138686,694.50M,120.81M
3,South Africa,Africa,688406302.0,60142978.0,1 Jul 2021,7.779184928535812,688.41M,60.14M
4,Ghana,Africa,623314503.29,30832019.0,27 Jun 2021,7.489001964942171,623.31M,30.83M
5,Syria,Asia,567549003.0,18276000.0,1 Jul 2021,7.261881149383667,567.55M,18.28M
6,Afghanistan,Asia,554048228.0,32890171.0,1 Jul 2020,7.517066131438366,554.05M,32.89M
7,Kenya,Africa,460754673.82,47564296.0,31 Aug 2019,7.677281073129907,460.75M,47.56M
8,Nigeria,Africa,451574081.99,216746934.0,1 Jul 2022,8.33595296286659,451.57M,216.75M
9,Uganda,Africa,444198430.99,42885900.0,1 Jul 2021,7.632314528577885,444.20M,42.89M
10,Iraq,Asia,393071688.0,41190700.0,1 Jul 2021,7.614799172474848,393.07M,41.19M
11,Liberia,Africa,364619909.0,4661010.0,1 Jul 2021,6.668480034694045,364.62M,4.66M
12,Mozambique,Africa,339405057.0,31616078.0,1 Jul 2022,7.499907994356414,339.41M,31.62M
13,Malawi,Africa,310658999.02,21507723.0,1 Jul 2022,7.332594434521366,310.66M,21.51M
14,Tanzania,Africa,307311978.07,59441988.0,1 Jul 2021,7.7740933257019185,307.31M,59.44M
15,Mali,Africa,276081787.02,21473764.0,1 Jul 2022,7.331908175836099,276.08M,21.47M
16,Zambia,Africa,262864155.86,18400556.0,1 Jul 2021,7.264830946057566,262.86M,18.40M
17,Somalia,Africa,240424995.0,16360000.0,1 Jul 2021,7.213783299335304,240.42M,16.36M
18,Sudan,Africa,227395790.0,44601270.0,19 Jul 2022,7.649347225217507,227.40M,44.60M
19,South Sudan,Africa,220867463.0,13249924.0,1 Jul 2020,7.122213387218088,220.87M,13.25M
20,Pakistan,Asia,204816409.83,229488994.0,1 Jul 2022,8.36076186216224,204.82M,229.49M
21,Guatemala,Americas,200818347.89,17109746.0,1 Jul 2021,7.233243562339627,200.82M,17.11M
22,Zimbabwe,Africa,194432644.0,15790716.0,1 Jul 2021,7.198401822712481,194.43M,15.79M
