,Country Name,UN Region,Amount,Total Population,Population Date,log_Population,Amount ,Population 
1,Switzerland,Europe,3442878238.96,8753933.0,31 Mar 2022,6.942203218328999,3.44G,8.75M
2,South Africa,Africa,1015459038.1,60142978.0,1 Jul 2021,7.779184928535812,1.02G,60.14M
3,Ethiopia,Africa,924437526.48,120812698.0,1 Jul 2022,8.082112583138686,924.44M,120.81M
4,Kenya,Africa,706907154.05,47564296.0,31 Aug 2019,7.677281073129907,706.91M,47.56M
5,Nigeria,Africa,681890992.43,216746934.0,1 Jul 2022,8.33595296286659,681.89M,216.75M
6,Syria,Asia,661064972.55,18276000.0,1 Jul 2021,7.261881149383667,661.06M,18.28M
7,DR Congo,Africa,635943318.92,92378000.0,1 Jul 2021,7.965568555460146,635.94M,92.38M
8,South Sudan,Africa,581435858.0,13249924.0,1 Jul 2020,7.122213387218088,581.44M,13.25M
9,Uganda,Africa,559199141.39,42885900.0,1 Jul 2021,7.632314528577885,559.20M,42.89M
10,Somalia,Africa,417051964.75,16360000.0,1 Jul 2021,7.213783299335304,417.05M,16.36M
11,Mozambique,Africa,414083041.34,31616078.0,1 Jul 2022,7.499907994356414,414.08M,31.62M
12,Yemen,Asia,366337055.57,30491000.0,1 Jul 2021,7.484171667965255,366.34M,30.49M
13,Sudan,Africa,361097450.58,44601270.0,19 Jul 2022,7.649347225217507,361.10M,44.60M
14,Colombia,Americas,347668884.21,51049498.0,30 Jun 2021,7.707991475768632,347.67M,51.05M
15,Bangladesh,Asia,343391005.08,168220000.0,1 Jul 2020,8.225877628639518,343.39M,168.22M
16,Tanzania,Africa,340005161.28,59441988.0,1 Jul 2021,7.7740933257019185,340.01M,59.44M
17,Afghanistan,Asia,329545096.0,32890171.0,1 Jul 2020,7.517066131438366,329.55M,32.89M
18,Malawi,Africa,299174656.56,21507723.0,1 Jul 2022,7.332594434521366,299.17M,21.51M
19,Zimbabwe,Africa,266713549.3,15790716.0,1 Jul 2021,7.198401822712481,266.71M,15.79M
20,Iraq,Asia,262022924.25,41190700.0,1 Jul 2021,7.614799172474848,262.02M,41.19M
21,Italy,Europe,254357972.27,58906742.0,31 Mar 2022,7.77016500354486,254.36M,58.91M
22,Zambia,Africa,237673581.01,18400556.0,1 Jul 2021,7.264830946057566,237.67M,18.40M
23,Lebanon,Asia,234019739.32,6769000.0,1 Jul 2021,6.830524514097259,234.02M,6.77M
24,Haiti,Americas,196200194.71,11743017.0,1 Jul 2020,7.069779689596565,196.20M,11.74M
25,Jordan,Asia,176139806.85,11256108.0,19 Jul 2022,7.051388251411322,176.14M,11.26M
26,Senegal,Africa,172515010.66,17223497.0,1 Jul 2021,7.236121333738666,172.52M,17.22M
27,Ukraine,Europe,145281283.0,41130432.0,1 Feb 2022,7.614163271002754,145.28M,41.13M
28,Rwanda,Africa,135318586.6,12955768.0,1 Jul 2021,7.112463162460869,135.32M,12.96M
29,Niger,Africa,134056808.03,24112753.0,1 Jul 2021,7.382246797455569,134.06M,24.11M
30,Cameroon,Africa,130906899.16,24348251.0,1 Jul 2019,7.386467770136708,130.91M,24.35M
31,Burkina Faso,Africa,129768633.16,21510181.0,1 Jul 2020,7.332644064825886,129.77M,21.51M
32,Venezuela,Americas,127526352.91,28705000.0,1 Jul 2021,7.457957551203638,127.53M,28.70M
33,India,Asia,115900411.92,1373761000.0,1 Mar 2022,9.13791118293486,115.90M,1.37G
34,Central African Republic,Africa,112564249.68,5633412.0,1 Jul 2020,6.750771514555674,112.56M,5.63M
35,Canada,Americas,110907270.42,38823639.0,19 Jul 2022,7.589096240056743,110.91M,38.82M
36,Myanmar,Asia,110623132.0,55294979.0,1 Jul 2021,7.742685697460326,110.62M,55.29M
37,Peru,Americas,109582326.85,33396698.0,1 Jul 2022,7.523703529348386,109.58M,33.40M
38,Guatemala,Americas,105868051.92,17109746.0,1 Jul 2021,7.233243562339627,105.87M,17.11M
39,Mali,Africa,102199018.0,21473764.0,1 Jul 2022,7.331908175836099,102.20M,21.47M
40,Philippines,Asia,101600957.99,112170196.0,19 Jul 2022,8.049877478736716,101.60M,112.17M
41,Thailand,Asia,94573667.94,66813330.0,19 Jul 2022,7.824863117683719,94.57M,66.81M
42,Cote d'Ivoire,Africa,94440507.62,27087732.0,1 Jul 2021,7.432772643973037,94.44M,27.09M
43,Vietnam,Asia,89758629.55,98505400.0,1 Jul 2021,7.9934600388825885,89.76M,98.51M
44,Egypt,Africa,82472290.99,103596325.0,19 Jul 2022,8.015344349419546,82.47M,103.60M
45,Ecuador,Americas,80979233.25,18023212.0,19 Jul 2022,7.2558321911695645,80.98M,18.02M
46,Mexico,Americas,80390900.15,128271248.0,31 Mar 2022,8.108129320176166,80.39M,128.27M
47,Indonesia,Asia,77964408.72,272248500.0,1 Jul 2021,8.434965495614158,77.96M,272.25M
48,Madagascar,Africa,77057868.52,26923353.0,1 Jul 2021,7.430129145400308,77.06M,26.92M
49,Lesotho,Africa,75306393.62,2159000.0,1 Jul 2021,6.3342526423342305,75.31M,2.16M
50,Chad,Africa,67732640.0,16818391.0,1 Jul 2021,7.225784444895536,67.73M,16.82M
51,United Kingdom,Europe,67384522.09,67081234.0,30 Jun 2020,7.8266010431180275,67.38M,67.08M
