,Country Name,UN Region,Amount,Total Population,Population Date,log_Population,Amount ,Population 
1,Switzerland,Europe,1130973257.0,8753933.0,31 Mar 2022,6.942203218328999,1.13G,8.75M
2,Syria,Asia,649016431.0,18276000.0,1 Jul 2021,7.261881149383667,649.02M,18.28M
3,Italy,Europe,573525217.61,58906742.0,31 Mar 2022,7.77016500354486,573.53M,58.91M
4,Ethiopia,Africa,554421216.0,120812698.0,1 Jul 2022,8.082112583138686,554.42M,120.81M
5,Uganda,Africa,552561210.01,42885900.0,1 Jul 2021,7.632314528577885,552.56M,42.89M
6,Nigeria,Africa,548845068.0,216746934.0,1 Jul 2022,8.33595296286659,548.85M,216.75M
7,Kenya,Africa,504778699.5,47564296.0,31 Aug 2019,7.677281073129907,504.78M,47.56M
8,South Korea,Asia,504016156.0,51745000.0,31 Dec 2021,7.713868391282224,504.02M,51.74M
9,South Sudan,Africa,462790558.0,13249924.0,1 Jul 2020,7.122213387218088,462.79M,13.25M
10,South Africa,Africa,462129380.44,60142978.0,1 Jul 2021,7.779184928535812,462.13M,60.14M
11,Morocco,Africa,449587338.25,36664786.0,19 Jul 2022,7.564249154508492,449.59M,36.66M
12,Iraq,Asia,433013132.0,41190700.0,1 Jul 2021,7.614799172474848,433.01M,41.19M
13,Benin,Africa,397227327.0,12506347.0,1 Jul 2021,7.097130474408183,397.23M,12.51M
14,Tanzania,Africa,340639602.48,59441988.0,1 Jul 2021,7.7740933257019185,340.64M,59.44M
15,Yemen,Asia,330991166.0,30491000.0,1 Jul 2021,7.484171667965255,330.99M,30.49M
16,Afghanistan,Asia,322847860.0,32890171.0,1 Jul 2020,7.517066131438366,322.85M,32.89M
17,Somalia,Africa,315123441.0,16360000.0,1 Jul 2021,7.213783299335304,315.12M,16.36M
18,Zambia,Africa,241455397.72,18400556.0,1 Jul 2021,7.264830946057566,241.46M,18.40M
19,Pakistan,Asia,233433471.99,229488994.0,1 Jul 2022,8.36076186216224,233.43M,229.49M
20,DR Congo,Africa,224930709.0,92378000.0,1 Jul 2021,7.965568555460146,224.93M,92.38M
21,Mozambique,Africa,222727853.06,31616078.0,1 Jul 2022,7.499907994356414,222.73M,31.62M
22,Haiti,Americas,206072521.0,11743017.0,1 Jul 2020,7.069779689596565,206.07M,11.74M
23,Sudan,Africa,196765806.56,44601270.0,19 Jul 2022,7.649347225217507,196.77M,44.60M
24,Bangladesh,Asia,170821040.0,168220000.0,1 Jul 2020,8.225877628639518,170.82M,168.22M
25,Guatemala,Americas,155156920.98,17109746.0,1 Jul 2021,7.233243562339627,155.16M,17.11M
26,Jordan,Asia,150140683.63,11256108.0,19 Jul 2022,7.051388251411322,150.14M,11.26M
27,Zimbabwe,Africa,145193482.0,15790716.0,1 Jul 2021,7.198401822712481,145.19M,15.79M
28,Liberia,Africa,144854978.13,4661010.0,1 Jul 2021,6.668480034694045,144.85M,4.66M
29,Malawi,Africa,137350624.77,21507723.0,1 Jul 2022,7.332594434521366,137.35M,21.51M
30,Nepal,Asia,128543259.0,29192480.0,11 Nov 2021,7.465270991341707,128.54M,29.19M
31,Ukraine,Europe,126303701.0,41130432.0,1 Feb 2022,7.614163271002754,126.30M,41.13M
32,Colombia,Americas,123024357.0,51049498.0,30 Jun 2021,7.707991475768632,123.02M,51.05M
33,Ghana,Africa,121028763.97,30832019.0,27 Jun 2021,7.489001964942171,121.03M,30.83M
34,United Kingdom,Europe,119243583.76,67081234.0,30 Jun 2020,7.8266010431180275,119.24M,67.08M
35,Mali,Africa,117904304.56,21473764.0,1 Jul 2022,7.331908175836099,117.90M,21.47M
36,Lebanon,Asia,112365872.14,6769000.0,1 Jul 2021,6.830524514097259,112.37M,6.77M
37,Central African Republic,Africa,111917815.0,5633412.0,1 Jul 2020,6.750771514555674,111.92M,5.63M
38,Canada,Americas,110730675.29,38823639.0,19 Jul 2022,7.589096240056743,110.73M,38.82M
39,Botswana,Africa,104810214.0,2410338.0,1 Jul 2021,6.382077947654605,104.81M,2.41M
40,Senegal,Africa,93705857.06,17223497.0,1 Jul 2021,7.236121333738666,93.71M,17.22M
41,Niger,Africa,92849741.02,24112753.0,1 Jul 2021,7.382246797455569,92.85M,24.11M
42,Rwanda,Africa,91799314.01,12955768.0,1 Jul 2021,7.112463162460869,91.80M,12.96M
