,Country Name,Annualized Growth Rate,2014 Amount,2019 Amount,UN Region,Total Population,id
91,South Korea,15.882,2.51M,5.24M,Asia,51745000.0,South Korea
92,Kuwait,19.845,265.41K,656.16K,Asia,4670713.0,Kuwait
93,Laos,-2.039,32.10M,28.96M,Asia,7337783.0,Laos
94,Lebanon,18.38,85.50M,198.76M,Asia,6769000.0,Lebanon
95,Liberia,-30.154,130.44M,21.68M,Africa,4661010.0,Liberia
96,Libya,6.151,21.31M,28.72M,Africa,7054493.0,Libya
97,Sri Lanka,23.781,10.56M,30.68M,Asia,22156000.0,Sri Lanka
98,Lesotho,45.443,9.61M,62.55M,Africa,2159000.0,Lesotho
99,Lithuania,26.422,184.28K,595.12K,Europe,2794961.0,Lithuania
100,Luxembourg,-11.297,249.27K,136.88K,Europe,645397.0,Luxembourg
101,Latvia,59.117,54.85K,559.44K,Europe,1874900.0,Latvia
102,Morocco,16.676,12.26M,26.51M,Africa,36664786.0,Morocco
103,Moldova,2.844,15.82M,18.20M,Europe,2597100.0,Moldova
104,Madagascar,21.763,23.01M,61.58M,Africa,26923353.0,Madagascar
105,Mexico,14.99,32.03M,64.40M,Americas,128271248.0,Mexico
106,Macedonia,-9.535,11.20M,6.78M,Europe,1832696.0,Macedonia
107,Mali,11.248,55.59M,94.73M,Africa,21473764.0,Mali
108,Malta,-3.122,4.37M,3.73M,Europe,514564.0,Malta
109,Myanmar,14.453,63.34M,124.39M,Asia,55294979.0,Myanmar
110,Montenegro,89.29,60.52K,1.47M,Europe,621306.0,Montenegro
111,Mongolia,-7.999,2.85M,1.88M,Asia,3447939.0,Mongolia
112,Mozambique,19.697,152.34M,374.31M,Africa,31616078.0,Mozambique
113,Mauritania,27.166,10.22M,33.99M,Africa,4271197.0,Mauritania
114,Malawi,21.614,77.24M,205.48M,Africa,21507723.0,Malawi
115,Malaysia,24.889,3.15M,9.57M,Asia,32728400.0,Malaysia
116,Namibia,9.325,28.35M,44.28M,Africa,2550226.0,Namibia
117,New Caledonia,-38.874,703.12K,60.00K,Oceania,273674.0,New Caledonia
118,Niger,2.151,95.24M,105.93M,Africa,24112753.0,Niger
119,Nigeria,3.156,433.29M,506.11M,Africa,216746934.0,Nigeria
120,Nicaragua,-4.385,47.25M,37.76M,Americas,6595674.0,Nicaragua
121,Netherlands,48.069,9.27M,65.98M,Europe,17717959.0,Netherlands
123,Nepal,-1.468,66.03M,61.32M,Asia,29192480.0,Nepal
124,New Zealand,-6.27,3.67M,2.66M,Oceania,5133062.0,New Zealand
125,Oman,51.247,251.74K,1.99M,Asia,4527446.0,Oman
126,Pakistan,-7.413,209.69M,142.67M,Asia,229488994.0,Pakistan
127,Panama,39.057,5.02M,26.10M,Americas,4278500.0,Panama
128,Peru,5.832,58.80M,78.07M,Americas,33396698.0,Peru
129,Philippines,-1.16,107.87M,101.76M,Asia,112170196.0,Philippines
130,Papua New Guinea,17.541,4.25M,9.53M,Oceania,9122994.0,Papua New Guinea
131,Poland,8.355,1.07M,1.60M,Europe,38014000.0,Poland
134,Portugal,24.306,473.66K,1.41M,Europe,10347892.0,Portugal
135,Paraguay,20.914,11.19M,28.92M,Americas,7353038.0,Paraguay
136,Palestine,-36.281,445.89K,46.84K,Asia,5227193.0,Palestine
137,Qatar,-29.1,317.93K,56.96K,Asia,2799202.0,Qatar
138,Romania,74.791,121.70K,1.99M,Europe,19186201.0,Romania
139,Russia,14.561,3.19M,6.30M,Europe,147190000.0,Russia
140,Rwanda,-1.884,87.85M,79.87M,Africa,12955768.0,Rwanda
141,Saudi Arabia,-6.998,1.34M,928.87K,Asia,35013414.0,Saudi Arabia
142,Sudan,4.271,208.50M,256.99M,Africa,44601270.0,Sudan
143,Senegal,10.939,116.34M,195.50M,Africa,17223497.0,Senegal
144,Solomon Islands,70.122,1.56M,22.24M,Oceania,728041.0,Solomon Islands
145,Sierra Leone,-35.914,16.81M,1.82M,Africa,8297882.0,Sierra Leone
146,El Salvador,-12.796,77.54M,39.11M,Americas,6825935.0,El Salvador
147,Somalia,20.158,148.10M,370.97M,Africa,16360000.0,Somalia
148,Serbia,4.07,9.44M,11.52M,Europe,6797105.0,Serbia
149,South Sudan,13.251,284.97M,530.90M,Africa,13249924.0,South Sudan
150,Suriname,37.992,125.82K,629.53K,Americas,598000.0,Suriname
152,Slovenia,150.74,10.00K,991.11K,Europe,2108977.0,Slovenia
153,Sweden,-4.508,3.87M,3.08M,Europe,10475203.0,Sweden
154,Eswatini,30.297,10.73M,40.28M,Africa,1172000.0,Eswatini
155,Syria,-1.963,578.12M,523.56M,Asia,18276000.0,Syria
156,Chad,12.339,33.22M,59.43M,Africa,16818391.0,Chad
157,Togo,149.882,215.05K,20.95M,Africa,7886000.0,Togo
158,Thailand,1.931,77.06M,84.80M,Asia,66813330.0,Thailand
159,Tajikistan,-15.016,22.08M,9.79M,Asia,9506000.0,Tajikistan
160,Turkmenistan,19.703,1.23M,3.02M,Asia,6118000.0,Turkmenistan
161,Timor-Leste,-9.805,10.30M,6.15M,Asia,1317780.0,Timor-Leste
162,Trinidad and Tobago,-1.982,7.16M,6.48M,Americas,1367558.0,Trinidad and Tobago
163,Tunisia,20.616,16.00M,40.85M,Africa,11746695.0,Tunisia
164,Turkey,0.602,59.10M,60.90M,Asia,84680273.0,Turkey
165,Taiwan,40.068,1.05M,5.64M,Asia,23375314.0,Taiwan
166,Tanzania,0.185,299.50M,302.28M,Africa,59441988.0,Tanzania
167,Uganda,6.432,388.69M,530.85M,Africa,42885900.0,Uganda
168,Ukraine,2.393,85.80M,96.56M,Europe,41130432.0,Ukraine
169,Uruguay,30.877,556.68K,2.14M,Americas,3554915.0,Uruguay
171,Uzbekistan,67.492,2.81M,37.06M,Asia,35661665.0,Uzbekistan
172,Venezuela,68.441,3.95M,53.54M,Americas,28705000.0,Venezuela
173,Vietnam,14.486,37.71M,74.17M,Asia,98505400.0,Vietnam
174,Vanuatu,8.661,526.04K,796.87K,Oceania,301295.0,Vanuatu
175,Yemen,36.23,108.87M,510.83M,Asia,30491000.0,Yemen
176,South Africa,5.914,451.59M,601.87M,Africa,60142978.0,South Africa
177,Zambia,9.177,112.13M,173.93M,Africa,18400556.0,Zambia
178,Zimbabwe,22.917,72.68M,203.92M,Africa,15790716.0,Zimbabwe
