,Country Name,UN Region,Amount,Total Population,Population Date,log_Population,Amount ,Population 
1,Switzerland,Europe,1404333313.57,8753933.0,31 Mar 2022,6.942203218328999,1.40G,8.75M
2,Ethiopia,Africa,712165618.85,120812698.0,1 Jul 2022,8.082112583138686,712.17M,120.81M
3,Kenya,Africa,620657909.35,47564296.0,31 Aug 2019,7.677281073129907,620.66M,47.56M
4,South Africa,Africa,601871481.55,60142978.0,1 Jul 2021,7.779184928535812,601.87M,60.14M
5,DR Congo,Africa,568933273.01,92378000.0,1 Jul 2021,7.965568555460146,568.93M,92.38M
6,Cote d'Ivoire,Africa,563375076.33,27087732.0,1 Jul 2021,7.432772643973037,563.38M,27.09M
7,South Sudan,Africa,530902097.72,13249924.0,1 Jul 2020,7.122213387218088,530.90M,13.25M
8,Uganda,Africa,530847378.61,42885900.0,1 Jul 2021,7.632314528577885,530.85M,42.89M
9,Syria,Asia,523555792.85,18276000.0,1 Jul 2021,7.261881149383667,523.56M,18.28M
10,Iraq,Asia,511829037.87,41190700.0,1 Jul 2021,7.614799172474848,511.83M,41.19M
11,Yemen,Asia,510829959.26,30491000.0,1 Jul 2021,7.484171667965255,510.83M,30.49M
12,Nigeria,Africa,506113257.87,216746934.0,1 Jul 2022,8.33595296286659,506.11M,216.75M
13,Mozambique,Africa,374309086.85,31616078.0,1 Jul 2022,7.499907994356414,374.31M,31.62M
14,Somalia,Africa,370966824.0,16360000.0,1 Jul 2021,7.213783299335304,370.97M,16.36M
15,Tanzania,Africa,302278384.05,59441988.0,1 Jul 2021,7.7740933257019185,302.28M,59.44M
16,Colombia,Americas,301344452.91,51049498.0,30 Jun 2021,7.707991475768632,301.34M,51.05M
17,Afghanistan,Asia,284304143.0,32890171.0,1 Jul 2020,7.517066131438366,284.30M,32.89M
18,Bangladesh,Asia,263391503.68,168220000.0,1 Jul 2020,8.225877628639518,263.39M,168.22M
19,Sudan,Africa,256990990.07,44601270.0,19 Jul 2022,7.649347225217507,256.99M,44.60M
20,Haiti,Americas,221093898.58,11743017.0,1 Jul 2020,7.069779689596565,221.09M,11.74M
21,Malawi,Africa,205476300.0,21507723.0,1 Jul 2022,7.332594434521366,205.48M,21.51M
22,Zimbabwe,Africa,203917322.38,15790716.0,1 Jul 2021,7.198401822712481,203.92M,15.79M
23,Lebanon,Asia,198760816.81,6769000.0,1 Jul 2021,6.830524514097259,198.76M,6.77M
24,Senegal,Africa,195499425.0,17223497.0,1 Jul 2021,7.236121333738666,195.50M,17.22M
25,Ghana,Africa,181113348.43,30832019.0,27 Jun 2021,7.489001964942171,181.11M,30.83M
26,Jordan,Asia,177117570.2,11256108.0,19 Jul 2022,7.051388251411322,177.12M,11.26M
27,Zambia,Africa,173927098.86,18400556.0,1 Jul 2021,7.264830946057566,173.93M,18.40M
28,Pakistan,Asia,142669428.38,229488994.0,1 Jul 2022,8.36076186216224,142.67M,229.49M
29,Guatemala,Americas,141058993.28,17109746.0,1 Jul 2021,7.233243562339627,141.06M,17.11M
30,Italy,Europe,130277177.14,58906742.0,31 Mar 2022,7.77016500354486,130.28M,58.91M
31,Myanmar,Asia,124392555.49,55294979.0,1 Jul 2021,7.742685697460326,124.39M,55.29M
