,Country / Dependency,UN Region,Population,Date,standard_names
107,El Salvador,Americas,6825935,1 Jul 2021,El Salvador
108,Serbia,Europe,6797105,1 Jan 2022,Serbia
109,Lebanon,Asia,6769000,1 Jul 2021,Lebanon
110,Kyrgyzstan,Asia,6700000,1 Apr 2021,Kyrgyz Republic
111,Nicaragua,Americas,6595674,30 Jun 2020,Nicaragua
112,Bulgaria,Europe,6520314,7 Sep 2021,Bulgaria
113,Turkmenistan,Asia,6118000,1 Jul 2021,Turkmenistan
114,Denmark,Europe,5883562,1 Apr 2022,Denmark
115,Congo,Africa,5657000,1 Jul 2021,Congo Republic
116,Central African Republic,Africa,5633412,1 Jul 2020,Central African Republic
117,Finland,Europe,5550066,1 Feb 2022,Finland
118,Singapore,Asia,5453600,30 Jun 2021,Singapore
119,Norway,Europe,5435536,31 Mar 2022,Norway
120,Slovakia,Europe,5434712,31 Dec 2021,Slovakia
121,Palestine,Asia,5227193,1 Jul 2021,Palestine
122,Costa Rica,Americas,5163038,30 Jun 2021,Costa Rica
123,New Zealand,Oceania,5133062,19 Jul 2022,New Zealand
124,Ireland,Europe,5123536,3 Apr 2022,Ireland
125,Kuwait,Asia,4670713,31 Dec 2020,Kuwait
126,Liberia,Africa,4661010,1 Jul 2021,Liberia
127,Oman,Asia,4527446,31 Dec 2021,Oman
128,Panama,Americas,4278500,1 Jul 2020,Panama
129,Mauritania,Africa,4271197,1 Jul 2021,Mauritania
130,Croatia,Europe,3888529,31 Aug 2021,Croatia
131,Georgia,Asia,3728573,1 Jan 2021,Georgia
132,Eritrea,Africa,3601000,1 Jul 2021,Eritrea
133,Uruguay,Americas,3554915,30 Jun 2021,Uruguay
134,Mongolia,Asia,3447939,19 Jul 2022,Mongolia
135,Bosnia and Herzegovina,Europe,3320954,1 Jul 2020,Bosnia and Herzegovina
136,Puerto Rico ,Americas,3285874,1 Apr 2020,Puerto Rico
137,Armenia,Asia,2963900,31 Mar 2021,Armenia
138,Albania,Europe,2829741,1 Jan 2021,Albania
139,Qatar,Asia,2799202,31 Jul 2019,Qatar
140,Lithuania,Europe,2794961,1 Jan 2022,Lithuania
141,Jamaica,Americas,2734093,31 Dec 2019,Jamaica
142,Moldova,Europe,2597100,1 Jan 2021,Moldova
143,Namibia,Africa,2550226,1 Jul 2021,Namibia
144,Gambia,Africa,2487000,1 Jul 2021,Gambia
145,Botswana,Africa,2410338,1 Jul 2021,Botswana
146,Gabon,Africa,2233272,1 Jul 2021,Gabon
147,Lesotho,Africa,2159000,1 Jul 2021,Lesotho
148,Slovenia,Europe,2108977,1 Jan 2021,Slovenia
149,Latvia,Europe,1874900,1 Dec 2021,Latvia
150,North Macedonia,Europe,1832696,1 Nov 2021,Macedonia
151,Kosovo,Europe,1798188,31 Dec 2020,Kosovo
152,Guinea-Bissau,Africa,1646077,1 Jul 2021,Guinea-Bissau
153,Equatorial Guinea,Africa,1505588,1 Jul 2021,Equatorial Guinea
154,Bahrain,Asia,1501635,17 Mar 2020,Bahrain
155,Trinidad and Tobago,Americas,1367558,30 Jun 2021,Trinidad and Tobago
156,Estonia,Europe,1331796,1 Jan 2022,Estonia
157,East Timor,Asia,1317780,1 Jul 2021,Timor-Leste
158,Mauritius,Africa,1266334,30 Jun 2021,Mauritius
159,Eswatini,Africa,1172000,1 Jul 2021,Eswatini
160,Djibouti,Africa,976107,1 Jul 2019,Djibouti
161,Cyprus,Asia,918100,1 Oct 2021,Cyprus
162,Fiji,Oceania,898402,1 Jul 2021,Fiji
163,Comoros,Africa,758316,15 Dec 2017,Comoros
164,Bhutan,Asia,763200,30 May 2022,Bhutan
165,Guyana,Americas,743699,1 Jul 2019,Guyana
166,Solomon Islands,Oceania,728041,1 Jul 2021,Solomon Islands
167,Macau ,Asia,683200,31 Dec 2021,Macau
168,Luxembourg,Europe,645397,1 Jan 2022,Luxembourg
169,Montenegro,Europe,621306,1 Jul 2020,Montenegro
170,Western Sahara,Africa,612000,1 Jul 2021,Western Sahara
171,Suriname,Americas,598000,1 Jul 2019,Suriname
172,Cape Verde,Africa,563198,1 Jul 2021,Cabo Verde
173,Malta,Europe,514564,31 Dec 2019,Malta
174,Belize,Americas,430191,1 Jul 2021,Belize
175,Brunei,Asia,429999,1 Jul 2021,Brunei Darussalam
176,Bahamas,Americas,393450,1 Jul 2021,Bahamas
177,Maldives,Asia,383135,31 Dec 2019,Maldives
178,Northern Cyprus,Asia,382230,31 Dec 2019,Cyprus
179,Iceland,Europe,377280,31 Mar 2022,Iceland
180,Transnistria,Europe,306000,1 Jan 2018,not found
181,Vanuatu,Oceania,301295,1 Jul 2021,Vanuatu
182,Barbados,Americas,288000,1 Jul 2021,Barbados
183,French Polynesia ,Oceania,279890,1 Jul 2021,French Polynesia
184,New Caledonia ,Oceania,273674,1 Jul 2021,New Caledonia
185,Abkhazia,Asia,245424,1 Jan 2020,not found
186,São Tomé and Príncipe,Africa,214610,1 Jul 2021,Sao Tome and Principe
187,Samoa,Oceania,199853,1 Jul 2021,Samoa
188,Saint Lucia,Americas,178696,1 Jul 2018,St. Lucia
189,Guam ,Oceania,153836,1 Apr 2020,Guam
190,Curaçao ,Americas,153671,1 Jan 2021,Curacao
191,Artsakh,Asia,148900,1 Jan 2021,not found
192,Kiribati,Oceania,120740,1 Jul 2021,Kiribati
193,Grenada,Americas,113000,1 Jul 2021,Grenada
194,Aruba ,Americas,111050,31 Dec 2020,Aruba
195,Saint Vincent and the Grenadines,Americas,110696,1 Jul 2020,St. Vincent and the Grenadines
196,Jersey ,Europe,107800,31 Dec 2019,Jersey
197,Micronesia,Oceania,105754,1 Jul 2021,"Micronesia, Fed. Sts."
198,Tonga,Oceania,99532,1 Jul 2021,Tonga
199,Antigua and Barbuda,Americas,99337,1 Jul 2021,Antigua and Barbuda
200,Seychelles,Africa,99202,30 Jun 2021,Seychelles
201,U.S. Virgin Islands ,Americas,87146,1 Apr 2020,United States Virgin Islands
202,Isle of Man ,Europe,84069,30 May 2021,Isle of Man
203,Andorra,Europe,79535,31 Dec 2021,Andorra
204,Dominica,Americas,72000,1 Jul 2021,Dominica
205,Cayman Islands ,Americas,65786,30 Sep 2020,Cayman Islands
206,Bermuda ,Americas,64055,1 Jul 2021,Bermuda
207,Guernsey ,Europe,63124,30 Jun 2020,Guernsey
208,Greenland ,Americas,56562,1 Jan 2022,Greenland
209,Marshall Islands,Oceania,54516,1 Jul 2021,Marshall Islands
210,Saint Kitts and Nevis,Americas,54000,1 Jul 2021,St. Kitts and Nevis
211,Faroe Islands ,Europe,53941,1 May 2022,Faeroe Islands
212,South Ossetia,Asia,53532,15 Oct 2015,not found
213,American Samoa ,Oceania,49710,1 Apr 2020,American Samoa
214,Northern Mariana Islands ,Oceania,47329,1 Apr 2020,Northern Mariana Islands
215,Turks and Caicos Islands ,Americas,44542,1 Jul 2020,Turks and Caicos Islands
216,Sint Maarten ,Americas,42577,1 Jan 2021,Sint Maarten
217,Liechtenstein,Europe,39315,31 Dec 2021,Liechtenstein
218,Monaco,Europe,39150,31 Dec 2021,Monaco
219,Gibraltar ,Europe,34000,1 Jul 2021,Gibraltar
220,San Marino,Europe,33705,30 Mar 2022,San Marino
221,Saint Martin ,Americas,32489,1 Jan 2019,Saint-Martin
222,Åland ,Europe,30344,31 Dec 2021,Aland Islands
223,British Virgin Islands ,Americas,30000,1 Jul 2021,British Virgin Islands
224,Palau,Oceania,17957,1 Jul 2021,Palau
225,Cook Islands,Oceania,15342,1 Jul 2021,Cook Islands
226,Anguilla ,Americas,15000,1 Jul 2021,Anguilla
227,Nauru,Oceania,11832,1 Jul 2021,Nauru
228,Wallis and Futuna ,Oceania,11369,1 Jan 2021,Wallis and Futuna Islands
229,Tuvalu,Oceania,10679,1 Jul 2021,Tuvalu
230,Saint Barthélemy ,Americas,10289,1 Jan 2019,St. Barths
231,"Saint Helena, Ascension and Tristan da Cunha ",Africa,6000,1 Jul 2021,St. Helena
232,Saint Pierre and Miquelon ,Americas,5974,1 Jan 2019,St. Pierre and Miquelon
233,Montserrat ,Americas,5000,1 Jul 2021,Montserrat
234,Falkland Islands ,Americas,4000,1 Jul 2021,Falkland Islands
235,Christmas Island ,Oceania,1966,30 Jun 2020,Christmas Island
236,Norfolk Island ,Oceania,1734,30 Jun 2020,Norfolk Island
237,Niue,Oceania,1549,1 Jul 2021,Niue
238,Tokelau ,Oceania,1501,1 Jul 2021,Tokelau
239,Vatican City,Europe,825,1 Feb 2019,Vatican
240,Cocos ,Oceania,573,30 Jun 2020,Cocos (Keeling) Islands
241,Pitcairn Islands ,Oceania,40,1 Jan 2021,Pitcairn
