,Country Name,UN Region,Amount,Total Population,Population Date,log_Population,Amount ,Population 
1,Switzerland,Europe,813406105.0,8753933.0,31 Mar 2022,6.942203218328999,813.41M,8.75M
2,Italy,Europe,687097078.0,58906742.0,31 Mar 2022,7.77016500354486,687.10M,58.91M
3,Afghanistan,Asia,668910111.0,32890171.0,1 Jul 2020,7.517066131438366,668.91M,32.89M
4,Syria,Asia,655141571.0,18276000.0,1 Jul 2021,7.261881149383667,655.14M,18.28M
5,Ethiopia,Africa,614123958.0,120812698.0,1 Jul 2022,8.082112583138686,614.12M,120.81M
6,Liberia,Africa,485780042.0,4661010.0,1 Jul 2021,6.668480034694045,485.78M,4.66M
7,Nigeria,Africa,397961530.03,216746934.0,1 Jul 2022,8.33595296286659,397.96M,216.75M
8,Uganda,Africa,393010110.76,42885900.0,1 Jul 2021,7.632314528577885,393.01M,42.89M
9,Kenya,Africa,377664929.0,47564296.0,31 Aug 2019,7.677281073129907,377.66M,47.56M
10,South Africa,Africa,353380680.0,60142978.0,1 Jul 2021,7.779184928535812,353.38M,60.14M
11,Tanzania,Africa,352269561.02,59441988.0,1 Jul 2021,7.7740933257019185,352.27M,59.44M
12,Central African Republic,Africa,346042875.0,5633412.0,1 Jul 2020,6.750771514555674,346.04M,5.63M
13,Ghana,Africa,338917582.69,30832019.0,27 Jun 2021,7.489001964942171,338.92M,30.83M
14,El Salvador,Americas,301418858.0,6825935.0,1 Jul 2021,6.834162148390946,301.42M,6.83M
15,Jordan,Asia,278828808.28,11256108.0,19 Jul 2022,7.051388251411322,278.83M,11.26M
16,Sudan,Africa,252568111.0,44601270.0,19 Jul 2022,7.649347225217507,252.57M,44.60M
17,Pakistan,Asia,246571361.0,229488994.0,1 Jul 2022,8.36076186216224,246.57M,229.49M
18,Haiti,Americas,244658246.0,11743017.0,1 Jul 2020,7.069779689596565,244.66M,11.74M
19,South Sudan,Africa,227715963.08,13249924.0,1 Jul 2020,7.122213387218088,227.72M,13.25M
