,Country Name,UN Region,Amount,Total Population,Population Date,log_Population,Amount ,Population 
1,Switzerland,Europe,5827138726.02,8753933,31 Mar 2022,6.942203218328999,5.83G,8.75M
2,Ethiopia,Africa,902543597.57,120812698,1 Jul 2022,8.082112583138686,902.54M,120.81M
3,Syria,Asia,759483757.42,18276000,1 Jul 2021,7.261881149383667,759.48M,18.28M
4,Kenya,Africa,715672408.9,47564296,31 Aug 2019,7.677281073129907,715.67M,47.56M
5,Senegal,Africa,677730653.09,17223497,1 Jul 2021,7.236121333738666,677.73M,17.22M
6,Nigeria,Africa,656714480.91,216746934,1 Jul 2022,8.33595296286659,656.71M,216.75M
7,South Sudan,Africa,605931092.89,13249924,1 Jul 2020,7.122213387218088,605.93M,13.25M
8,Uganda,Africa,548219744.0,42885900,1 Jul 2021,7.632314528577885,548.22M,42.89M
9,Yemen,Asia,494700687.83,30491000,1 Jul 2021,7.484171667965255,494.70M,30.49M
10,DR Congo,Africa,493139289.89,92378000,1 Jul 2021,7.965568555460146,493.14M,92.38M
11,Bangladesh,Asia,435584792.69,168220000,1 Jul 2020,8.225877628639518,435.58M,168.22M
12,Sudan,Africa,386748831.64,44601270,19 Jul 2022,7.649347225217507,386.75M,44.60M
13,South Africa,Africa,373539842.86,60142978,1 Jul 2021,7.779184928535812,373.54M,60.14M
14,Afghanistan,Asia,370423564.0,32890171,1 Jul 2020,7.517066131438366,370.42M,32.89M
15,Somalia,Africa,364253853.99,16360000,1 Jul 2021,7.213783299335304,364.25M,16.36M
16,Colombia,Americas,360287340.91,51049498,30 Jun 2021,7.707991475768632,360.29M,51.05M
17,Tanzania,Africa,355320129.69,59441988,1 Jul 2021,7.7740933257019185,355.32M,59.44M
18,Mongolia,Asia,327593015.48,3447939,19 Jul 2022,6.537559573800663,327.59M,3.45M
19,Mozambique,Africa,302327539.86,31616078,1 Jul 2022,7.499907994356414,302.33M,31.62M
20,Guatemala,Americas,291792058.4,17109746,1 Jul 2021,7.233243562339627,291.79M,17.11M
21,Zimbabwe,Africa,287172102.46,15790716,1 Jul 2021,7.198401822712481,287.17M,15.79M
22,Iraq,Asia,244972638.23,41190700,1 Jul 2021,7.614799172474848,244.97M,41.19M
23,Italy,Europe,230560079.88,58906742,31 Mar 2022,7.77016500354486,230.56M,58.91M
24,Ghana,Africa,227528569.1,30832019,27 Jun 2021,7.489001964942171,227.53M,30.83M
25,Zambia,Africa,223901872.22,18400556,1 Jul 2021,7.264830946057566,223.90M,18.40M
26,Haiti,Americas,221152318.1,11743017,1 Jul 2020,7.069779689596565,221.15M,11.74M
27,Lebanon,Asia,221091739.44,6769000,1 Jul 2021,6.830524514097259,221.09M,6.77M
28,Malawi,Africa,189431765.32,21507723,1 Jul 2022,7.332594434521366,189.43M,21.51M
29,India,Asia,184664367.27,1373761000,1 Mar 2022,9.13791118293486,184.66M,1.37G
30,Venezuela,Americas,180645483.42,28705000,1 Jul 2021,7.457957551203638,180.65M,28.70M
31,Jordan,Asia,162823796.42,11256108,19 Jul 2022,7.051388251411322,162.82M,11.26M
32,Ukraine,Europe,140174495.13,41130432,1 Feb 2022,7.614163271002754,140.17M,41.13M
33,Peru,Americas,139029303.73,33396698,1 Jul 2022,7.523703529348386,139.03M,33.40M
34,Honduras,Americas,135079813.25,9546178,1 Jul 2021,6.97982952805003,135.08M,9.55M
35,Mali,Africa,132392565.0,21473764,1 Jul 2022,7.331908175836099,132.39M,21.47M
36,Madagascar,Africa,130388458.85,26923353,1 Jul 2021,7.430129145400308,130.39M,26.92M
37,Rwanda,Africa,128282007.02,12955768,1 Jul 2021,7.112463162460869,128.28M,12.96M
38,Myanmar,Asia,126170545.83,55294979,1 Jul 2021,7.742685697460326,126.17M,55.29M
39,Cote d'Ivoire,Africa,125231589.12,27087732,1 Jul 2021,7.432772643973037,125.23M,27.09M
40,Mexico,Americas,123987466.57,128271248,31 Mar 2022,8.108129320176166,123.99M,128.27M
41,Pakistan,Asia,119226667.13,229488994,1 Jul 2022,8.36076186216224,119.23M,229.49M
42,Burkina Faso,Africa,119117983.41,21510181,1 Jul 2020,7.332644064825886,119.12M,21.51M
43,Niger,Africa,114025326.21,24112753,1 Jul 2021,7.382246797455569,114.03M,24.11M
44,Cameroon,Africa,108014944.53,24348251,1 Jul 2019,7.386467770136708,108.01M,24.35M
45,Canada,Americas,105444126.1,38823639,19 Jul 2022,7.589096240056743,105.44M,38.82M
46,Central African Republic,Africa,102598397.5,5633412,1 Jul 2020,6.750771514555674,102.60M,5.63M
47,Laos,Asia,101096612.39,7337783,1 Jul 2021,6.865564864234311,101.10M,7.34M
48,Thailand,Asia,101040004.77,66813330,19 Jul 2022,7.824863117683719,101.04M,66.81M
49,Vietnam,Asia,97878619.01,98505400,1 Jul 2021,7.9934600388825885,97.88M,98.51M
50,Philippines,Asia,97044009.06,112170196,19 Jul 2022,8.049877478736716,97.04M,112.17M
51,El Salvador,Americas,91637046.65,6825935,1 Jul 2021,6.834162148390946,91.64M,6.83M
52,Brazil,Americas,80528197.69,214902876,19 Jul 2022,8.332242227602062,80.53M,214.90M
53,Palestine,Asia,78035855.05,5227193,1 Jul 2021,6.718268535545922,78.04M,5.23M
