,Country Name,UN Region,Amount,Total Population,Population Date,log_Population,Amount ,Population 
1,Switzerland,Europe,1296080695.0,8753933.0,31 Mar 2022,6.942203218328999,1.30G,8.75M
2,Italy,Europe,795575270.0,58906742.0,31 Mar 2022,7.77016500354486,795.58M,58.91M
3,Syria,Asia,578123362.0,18276000.0,1 Jul 2021,7.261881149383667,578.12M,18.28M
4,South Africa,Africa,451592337.0,60142978.0,1 Jul 2021,7.779184928535812,451.59M,60.14M
5,Afghanistan,Asia,448468998.0,32890171.0,1 Jul 2020,7.517066131438366,448.47M,32.89M
6,Ethiopia,Africa,447203086.0,120812698.0,1 Jul 2022,8.082112583138686,447.20M,120.81M
7,Jordan,Asia,443335819.0,11256108.0,19 Jul 2022,7.051388251411322,443.34M,11.26M
8,Kenya,Africa,436825836.39,47564296.0,31 Aug 2019,7.677281073129907,436.83M,47.56M
9,Nigeria,Africa,433286235.61,216746934.0,1 Jul 2022,8.33595296286659,433.29M,216.75M
10,Uganda,Africa,388693003.03,42885900.0,1 Jul 2021,7.632314528577885,388.69M,42.89M
11,Tanzania,Africa,299497748.06,59441988.0,1 Jul 2021,7.7740933257019185,299.50M,59.44M
12,South Sudan,Africa,284969019.0,13249924.0,1 Jul 2020,7.122213387218088,284.97M,13.25M
13,Central African Republic,Africa,282871264.0,5633412.0,1 Jul 2020,6.750771514555674,282.87M,5.63M
14,Pakistan,Asia,209690814.0,229488994.0,1 Jul 2022,8.36076186216224,209.69M,229.49M
15,Sudan,Africa,208499990.0,44601270.0,19 Jul 2022,7.649347225217507,208.50M,44.60M
16,DR Congo,Africa,175135374.0,92378000.0,1 Jul 2021,7.965568555460146,175.14M,92.38M
17,Bangladesh,Asia,163806022.0,168220000.0,1 Jul 2020,8.225877628639518,163.81M,168.22M
18,Mozambique,Africa,152339203.0,31616078.0,1 Jul 2022,7.499907994356414,152.34M,31.62M
19,Ghana,Africa,152186298.84,30832019.0,27 Jun 2021,7.489001964942171,152.19M,30.83M
20,Somalia,Africa,148104585.0,16360000.0,1 Jul 2021,7.213783299335304,148.10M,16.36M
21,Egypt,Africa,131387471.0,103596325.0,19 Jul 2022,8.015344349419546,131.39M,103.60M
22,Liberia,Africa,130442402.0,4661010.0,1 Jul 2021,6.668480034694045,130.44M,4.66M
23,Haiti,Americas,128258279.0,11743017.0,1 Jul 2020,7.069779689596565,128.26M,11.74M
24,Senegal,Africa,116339668.2,17223497.0,1 Jul 2021,7.236121333738666,116.34M,17.22M
25,Zambia,Africa,112127180.71,18400556.0,1 Jul 2021,7.264830946057566,112.13M,18.40M
26,India,Asia,110955039.0,1373761000.0,1 Mar 2022,9.13791118293486,110.96M,1.37G
27,Yemen,Asia,108871448.0,30491000.0,1 Jul 2021,7.484171667965255,108.87M,30.49M
28,Philippines,Asia,107866233.0,112170196.0,19 Jul 2022,8.049877478736716,107.87M,112.17M
29,Iraq,Asia,98461562.0,41190700.0,1 Jul 2021,7.614799172474848,98.46M,41.19M
30,Niger,Africa,95240566.74,24112753.0,1 Jul 2021,7.382246797455569,95.24M,24.11M
31,Colombia,Americas,92870431.0,51049498.0,30 Jun 2021,7.707991475768632,92.87M,51.05M
32,Guatemala,Americas,91435949.0,17109746.0,1 Jul 2021,7.233243562339627,91.44M,17.11M
33,Rwanda,Africa,87845669.4,12955768.0,1 Jul 2021,7.112463162460869,87.85M,12.96M
34,Ukraine,Europe,85796702.0,41130432.0,1 Feb 2022,7.614163271002754,85.80M,41.13M
35,Lebanon,Asia,85495727.0,6769000.0,1 Jul 2021,6.830524514097259,85.50M,6.77M
36,United Kingdom,Europe,84409305.0,67081234.0,30 Jun 2020,7.8266010431180275,84.41M,67.08M
37,Canada,Americas,84318049.0,38823639.0,19 Jul 2022,7.589096240056743,84.32M,38.82M
38,El Salvador,Americas,77543680.89,6825935.0,1 Jul 2021,6.834162148390946,77.54M,6.83M
39,Malawi,Africa,77241525.0,21507723.0,1 Jul 2022,7.332594434521366,77.24M,21.51M
40,Thailand,Asia,77063246.0,66813330.0,19 Jul 2022,7.824863117683719,77.06M,66.81M
41,Zimbabwe,Africa,72675200.0,15790716.0,1 Jul 2021,7.198401822712481,72.68M,15.79M
42,Nepal,Asia,66029953.0,29192480.0,11 Nov 2021,7.465270991341707,66.03M,29.19M
43,Myanmar,Asia,63337901.0,55294979.0,1 Jul 2021,7.742685697460326,63.34M,55.29M
44,Cote d'Ivoire,Africa,60913807.0,27087732.0,1 Jul 2021,7.432772643973037,60.91M,27.09M
45,Turkey,Asia,59101382.0,84680273.0,31 Dec 2021,7.927782249467857,59.10M,84.68M
46,Peru,Americas,58801634.0,33396698.0,1 Jul 2022,7.523703529348386,58.80M,33.40M
47,Cambodia,Asia,57800363.0,15552211.0,3 Mar 2019,7.191792139783463,57.80M,15.55M
48,Burkina Faso,Africa,57530667.33,21510181.0,1 Jul 2020,7.332644064825886,57.53M,21.51M
49,Mali,Africa,55594527.88,21473764.0,1 Jul 2022,7.331908175836099,55.59M,21.47M
50,Fiji,Oceania,53231652.0,898402.0,1 Jul 2021,5.95347071006996,53.23M,898.40K
51,Indonesia,Asia,53058579.0,272248500.0,1 Jul 2021,8.434965495614158,53.06M,272.25M
52,Israel,Asia,49911030.0,9548060.0,19 Jul 2022,6.979915139449405,49.91M,9.55M
53,Nicaragua,Americas,47248667.85,6595674.0,30 Jun 2020,6.8192591819179125,47.25M,6.60M
54,Vietnam,Asia,37708974.0,98505400.0,1 Jul 2021,7.9934600388825885,37.71M,98.51M
55,Honduras,Americas,36123508.0,9546178.0,1 Jul 2021,6.97982952805003,36.12M,9.55M
56,Chad,Africa,33216658.0,16818391.0,1 Jul 2021,7.225784444895536,33.22M,16.82M
57,Laos,Asia,32101788.0,7337783.0,1 Jul 2021,6.865564864234311,32.10M,7.34M
58,Mexico,Americas,32032347.0,128271248.0,31 Mar 2022,8.108129320176166,32.03M,128.27M
59,Benin,Africa,31635146.9,12506347.0,1 Jul 2021,7.097130474408183,31.64M,12.51M
