,Country Name,UN Region,Amount,Total Population,Population Date,log_Population,Amount ,Population 
63,Bosnia and Herzegovina,Europe,38217883.73,3320954.0,1 Jul 2020,6.521262860035445,38.22M,3.32M
64,Liberia,Africa,36432750.0,4661010.0,1 Jul 2021,6.668480034694045,36.43M,4.66M
65,Sierra Leone,Africa,35650584.7,8297882.0,1 Jul 2021,6.918967254653808,35.65M,8.30M
66,Australia,Oceania,34719864.64,25920968.0,19 Jul 2022,7.413651215918026,34.72M,25.92M
67,Mongolia,Asia,33394718.81,3447939.0,19 Jul 2022,6.537559573800663,33.39M,3.45M
68,Timor-Leste,Asia,32559478.0,1317780.0,1 Jul 2021,6.119842911956736,32.56M,1.32M
69,Burundi,Africa,32501088.57,12574571.0,1 Jul 2021,7.0994931773851535,32.50M,12.57M
70,Angola,Africa,30163650.0,33086278.0,30 Jun 2022,7.519647914485988,30.16M,33.09M
71,Eswatini,Africa,29059565.07,1172000.0,1 Jul 2021,6.068927611682072,29.06M,1.17M
72,Israel,Asia,28957978.75,9548060.0,19 Jul 2022,6.979915139449405,28.96M,9.55M
73,Morocco,Africa,27758341.5,36664786.0,19 Jul 2022,7.564249154508492,27.76M,36.66M
74,Kazakhstan,Asia,25495995.56,19267584.0,19 Jul 2022,7.284827261035856,25.50M,19.27M
75,Namibia,Africa,25335599.0,2550226.0,1 Jul 2021,6.406578669141308,25.34M,2.55M
76,France,Europe,24658686.0,67874000.0,1 Jun 2022,7.831703444104363,24.66M,67.87M
77,Fiji,Oceania,24438080.73,898402.0,1 Jul 2021,5.95347071006996,24.44M,898.40K
78,China,Asia,23282122.6,1412600000.0,31 Dec 2021,9.150019201915148,23.28M,1.41G
79,Guinea,Africa,22423928.88,12907395.0,1 Jul 2021,7.110838600803818,22.42M,12.91M
80,Solomon Islands,Oceania,22099521.0,728041.0,1 Jul 2021,5.862155837516841,22.10M,728.04K
81,Tajikistan,Asia,21779409.9,9506000.0,1 Jan 2021,6.977997809958739,21.78M,9.51M
82,Benin,Africa,21445684.4,12506347.0,1 Jul 2021,7.097130474408183,21.45M,12.51M
83,Kyrgyz Republic,Asia,20763614.56,6700000.0,1 Apr 2021,6.826074802700826,20.76M,6.70M
84,Denmark,Europe,20337503.07,5883562.0,1 Apr 2022,6.769640334337041,20.34M,5.88M
85,Dominican Republic,Americas,20118329.33,10535535.0,1 Jul 2021,7.022656594205946,20.12M,10.54M
86,Brazil,Americas,19370581.14,214902876.0,19 Jul 2022,8.332242227602062,19.37M,214.90M
87,Moldova,Europe,18315658.0,2597100.0,1 Jan 2021,6.414488672236952,18.32M,2.60M
88,Jamaica,Americas,17177117.0,2734093.0,31 Dec 2019,6.436813282982311,17.18M,2.73M
89,Armenia,Asia,16780033.89,2963900.0,31 Mar 2021,6.471863546749658,16.78M,2.96M
90,Venezuela,Americas,16654107.0,28705000.0,1 Jul 2021,7.457957551203638,16.65M,28.70M
91,Nicaragua,Americas,16461488.1,6595674.0,30 Jun 2020,6.8192591819179125,16.46M,6.60M
92,Austria,Europe,14898098.36,9027999.0,1 Apr 2022,6.95559150230044,14.90M,9.03M
93,Congo Republic,Africa,14419304.21,5657000.0,1 Jul 2021,6.752586178740409,14.42M,5.66M
94,Costa Rica,Americas,13355182.95,5163038.0,30 Jun 2021,6.712905321469764,13.36M,5.16M
95,Botswana,Africa,13339605.16,2410338.0,1 Jul 2021,6.382077947654605,13.34M,2.41M
96,Kosovo,Europe,11609842.01,1798188.0,31 Dec 2020,6.254835095124878,11.61M,1.80M
97,Czech Republic,Europe,10763084.0,10516708.0,1 Jan 2022,7.021879815751455,10.76M,10.52M
98,Germany,Europe,9568070.73,83695430.0,31 Mar 2022,7.922701744970953,9.57M,83.70M
99,Taiwan,Asia,9480848.0,23375314.0,31 Dec 2021,7.368757453450497,9.48M,23.38M
100,Panama,Americas,8882620.19,4278500.0,1 Jul 2020,6.631291536325312,8.88M,4.28M
101,Gabon,Africa,8607353.05,2233272.0,1 Jul 2021,6.348941620924155,8.61M,2.23M
102,Paraguay,Americas,8508574.0,7353038.0,1 Jul 2021,6.866466810381868,8.51M,7.35M
103,Mauritania,Africa,8507948.55,4271197.0,1 Jul 2021,6.630549602810542,8.51M,4.27M
104,Bermuda,Americas,8161372.0,64055.0,1 Jul 2021,4.80655303552734,8.16M,64.06K
105,Serbia,Europe,8147303.71,6797105.0,1 Jan 2022,6.83232397884802,8.15M,6.80M
106,Dominica,Americas,7879513.0,72000.0,1 Jul 2021,4.857332496431268,7.88M,72.00K
107,Spain,Europe,7560039.0,47432805.0,1 Jan 2022,7.676078807974689,7.56M,47.43M
108,Belarus,Europe,7332002.0,9349645.0,1 Jan 2021,6.970795121303748,7.33M,9.35M
109,Albania,Europe,7130604.0,2829741.0,1 Jan 2021,6.451746687319949,7.13M,2.83M
110,Uzbekistan,Asia,6911671.84,35661665.0,19 Jul 2022,7.5522016159967045,6.91M,35.66M
111,Malaysia,Asia,6839318.01,32728400.0,19 Jul 2022,7.514924774383595,6.84M,32.73M
112,Barbados,Americas,6627275.64,288000.0,1 Jul 2021,5.459392487759231,6.63M,288.00K
113,Cuba,Americas,6577232.0,11113215.0,31 Dec 2021,7.045839716436334,6.58M,11.11M
114,Azerbaijan,Asia,6384147.59,10164464.0,1 Mar 2022,7.007084482041464,6.38M,10.16M
