,Country Name,UN Region,Amount,Total Population,Population Date,log_Population,Amount ,Population 
1,Switzerland,Europe,5151298494.13,8753933,31 Mar 2022,6.942203218328999,5.15G,8.75M
2,Ukraine,Europe,2469135809.71,41130432,1 Feb 2022,7.614163271002754,2.47G,41.13M
3,Ethiopia,Africa,1343250307.33,120812698,1 Jul 2022,8.082112583138686,1.34G,120.81M
4,Nigeria,Africa,1333034227.16,216746934,1 Jul 2022,8.33595296286659,1.33G,216.75M
5,Kenya,Africa,1226849981.33,47564296,31 Aug 2019,7.677281073129907,1.23G,47.56M
6,Afghanistan,Asia,809150365.0,32890171,1 Jul 2020,7.517066131438366,809.15M,32.89M
7,Syria,Asia,791984365.61,18276000,1 Jul 2021,7.261881149383667,791.98M,18.28M
8,Somalia,Africa,773882759.08,16360000,1 Jul 2021,7.213783299335304,773.88M,16.36M
9,DR Congo,Africa,668994930.73,92378000,1 Jul 2021,7.965568555460146,668.99M,92.38M
10,South Africa,Africa,587339960.63,60142978,1 Jul 2021,7.779184928535812,587.34M,60.14M
11,Yemen,Asia,544258198.38,30491000,1 Jul 2021,7.484171667965255,544.26M,30.49M
12,South Sudan,Africa,518189340.0,13249924,1 Jul 2020,7.122213387218088,518.19M,13.25M
13,Uganda,Africa,500728532.69,42885900,1 Jul 2021,7.632314528577885,500.73M,42.89M
14,Mozambique,Africa,488414186.03,31616078,1 Jul 2022,7.499907994356414,488.41M,31.62M
15,Bangladesh,Asia,477331359.41,168220000,1 Jul 2020,8.225877628639518,477.33M,168.22M
16,Italy,Europe,398435413.03,58906742,31 Mar 2022,7.77016500354486,398.44M,58.91M
17,Sudan,Africa,396780055.47,44601270,19 Jul 2022,7.649347225217507,396.78M,44.60M
18,Colombia,Americas,337247577.24,51049498,30 Jun 2021,7.707991475768632,337.25M,51.05M
19,Zimbabwe,Africa,307460589.25,15790716,1 Jul 2021,7.198401822712481,307.46M,15.79M
20,Zambia,Africa,259739854.53,18400556,1 Jul 2021,7.264830946057566,259.74M,18.40M
21,Tanzania,Africa,251361794.53,59441988,1 Jul 2021,7.7740933257019185,251.36M,59.44M
22,Iraq,Asia,249190711.04,41190700,1 Jul 2021,7.614799172474848,249.19M,41.19M
23,Ghana,Africa,246553003.63,30832019,27 Jun 2021,7.489001964942171,246.55M,30.83M
24,Malawi,Africa,235885630.36,21507723,1 Jul 2022,7.332594434521366,235.89M,21.51M
25,Venezuela,Americas,201675524.92,28705000,1 Jul 2021,7.457957551203638,201.68M,28.70M
26,Haiti,Americas,198299107.11,11743017,1 Jul 2020,7.069779689596565,198.30M,11.74M
27,Myanmar,Asia,192602768.31,55294979,1 Jul 2021,7.742685697460326,192.60M,55.29M
28,Lebanon,Asia,191519084.66,6769000,1 Jul 2021,6.830524514097259,191.52M,6.77M
29,Jordan,Asia,189612871.14,11256108,19 Jul 2022,7.051388251411322,189.61M,11.26M
30,Guatemala,Americas,161805909.3,17109746,1 Jul 2021,7.233243562339627,161.81M,17.11M
31,Niger,Africa,156275370.29,24112753,1 Jul 2021,7.382246797455569,156.28M,24.11M
32,Egypt,Africa,142816093.03,103596325,19 Jul 2022,8.015344349419546,142.82M,103.60M
33,El Salvador,Americas,141737474.73,6825935,1 Jul 2021,6.834162148390946,141.74M,6.83M
34,Peru,Americas,137513732.29,33396698,1 Jul 2022,7.523703529348386,137.51M,33.40M
35,Cameroon,Africa,136069841.41,24348251,1 Jul 2019,7.386467770136708,136.07M,24.35M
36,India,Asia,126181133.28,1373761000,1 Mar 2022,9.13791118293486,126.18M,1.37G
37,Madagascar,Africa,125724913.79,26923353,1 Jul 2021,7.430129145400308,125.72M,26.92M
38,Vietnam,Asia,120920227.81,98505400,1 Jul 2021,7.9934600388825885,120.92M,98.51M
39,Philippines,Asia,119343935.35,112170196,19 Jul 2022,8.049877478736716,119.34M,112.17M
40,Mali,Africa,118481757.1,21473764,1 Jul 2022,7.331908175836099,118.48M,21.47M
41,Burkina Faso,Africa,112521617.7,21510181,1 Jul 2020,7.332644064825886,112.52M,21.51M
42,Thailand,Asia,110329768.25,66813330,19 Jul 2022,7.824863117683719,110.33M,66.81M
43,Pakistan,Asia,108615450.3,229488994,1 Jul 2022,8.36076186216224,108.62M,229.49M
44,Central African Republic,Africa,105786592.62,5633412,1 Jul 2020,6.750771514555674,105.79M,5.63M
45,Dominican Republic,Americas,103302850.01,10535535,1 Jul 2021,7.022656594205946,103.30M,10.54M
46,Senegal,Africa,99854877.4,17223497,1 Jul 2021,7.236121333738666,99.85M,17.22M
47,Canada,Americas,98849999.46,38823639,19 Jul 2022,7.589096240056743,98.85M,38.82M
48,Mexico,Americas,94743222.84,128271248,31 Mar 2022,8.108129320176166,94.74M,128.27M
49,Rwanda,Africa,91932315.31,12955768,1 Jul 2021,7.112463162460869,91.93M,12.96M
50,Laos,Asia,83036581.23,7337783,1 Jul 2021,6.865564864234311,83.04M,7.34M
51,United Kingdom,Europe,82090752.8,67081234,30 Jun 2020,7.8266010431180275,82.09M,67.08M
52,Lesotho,Africa,82024219.74,2159000,1 Jul 2021,6.3342526423342305,82.02M,2.16M
53,Cote d'Ivoire,Africa,79847074.43,27087732,1 Jul 2021,7.432772643973037,79.85M,27.09M
54,Honduras,Americas,77663940.78,9546178,1 Jul 2021,6.97982952805003,77.66M,9.55M
